World 1900  1627883132 3503708176384.000                  3286.408 5349.888                           45.360 73.840                                      144.328 234.949                                       
World 1968  3546810880  1.813 0.170 2.694 9.554    0.019  1.476 237.626 4605.022 16333.143   2.784 445.936 4642.131 16464.762  32.505     5.982 2836.074 14166.963  5.965 2639.375   13219.982 46888.777  93.316 9.090 670.290 8044.348   2268.051 9.389 830.438 2727.964 9675.573  16.009  5.324 158.336 3132.305 298.659 1059.289 883.133  6.234 6.222 196.701 3358.763 319.589 1133.522 946.981  6.684   27.087 31.517 147.872 14.693 52.113 41.692  0.294 8.332 1731.457 22511.285   6346.909 9.095 1931.568 6532.638 23170.031  44.801 69.032 22.120  10.675 6.679 6.237  19.463   0.137  50247.539 5.396 165.185 3210.891 304.896 1081.409 905.290  6.390  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
World 1969  3620655360  1.781 0.170 2.686 9.724    0.018  3.146 513.857 4653.025 16847.000   2.023 333.027 4639.433 16797.789  31.372     6.873 3453.641 14831.895  6.905 3237.828   13844.622 50126.605  93.344 9.809 789.086 8833.434   2439.733 9.820 950.185 2934.761 10625.758  16.449  5.896 184.675 3316.980 309.818 1121.742 916.127  6.177 6.424 215.812 3574.574 333.305 1206.784 987.273  6.656   18.556 27.439 175.311 17.064 61.783 48.420  0.326 8.595 1934.889 24446.174   6751.864 7.640 1770.303 6888.348 24940.334  45.523 72.559 23.258  5.144 3.527 6.424  20.040   0.135  53701.180 5.845 188.372 3399.263 316.241 1145.000 938.853  6.330  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
World 1970  3695390208 21941933047808.000 38.847 3.778 3.654 13.501    0.024  1.425 240.004 4623.870 17087.004   4.000 671.893 4727.425 17469.682  29.890     6.451 3464.418 15469.435 2.605 6.479 3247.922   14443.543 53374.527  93.368 8.846 781.375 9614.809   2601.839 -8.139 -864.878 2641.366 9760.880  16.819  4.717 156.446 3473.427 317.869 1174.650 939.935  6.076 6.265 216.500 3791.074 346.168 1279.226 1025.893  6.632   27.663 48.497 223.808 21.344 78.875 60.564  0.392 9.108 2226.539 26672.713   7217.834 9.998 2493.551 7423.812 27433.885  46.659 80.338 25.702  10.508 7.779 6.955  21.740   0.141  57165.598 5.121 168.003 3567.266 324.824 1200.352 965.329  6.240  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
World 1971  3770163200  0.449 0.061 3.597 13.562    0.023  -0.589 -100.617 4505.478 16986.387   -0.909 -158.729 4591.566 17310.953  28.578     3.976 2273.016 15765.528  3.790 2022.961   14693.658 55397.488  93.201 7.056 678.382 10293.190   2730.171 6.970 680.303 2769.425 10441.183  17.317  4.477 155.515 3628.942 325.514 1227.242 962.542  6.105 6.627 250.056 4041.130 362.009 1364.835 1071.871  6.799   39.087 87.479 311.287 29.098 109.704 82.566  0.524 5.418 1445.195 28117.908   7458.008 5.712 1566.906 7692.185 29000.791  47.306 87.339 27.888  8.507 7.001 7.397  23.166   0.147  59438.613 4.518 162.577 3729.843 332.911 1255.130 989.306  6.275  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
World 1972  3844800768  9.298 1.261 3.855 14.823    0.024  1.070 181.840 4465.310 17168.227   -0.345 -59.660 4486.915 17251.293  27.382     5.487 3261.359 16307.729  5.350 2963.824   15179.281 58361.312  93.080 5.523 568.522 10861.713   2825.039 4.926 514.287 2849.425 10955.470  17.323  4.676 169.692 3798.634 334.121 1284.629 987.992  6.058 7.481 297.528 4338.658 381.474 1466.693 1128.448  6.920   38.714 120.512 431.799 39.579 152.175 112.307  0.689 7.872 2213.467 30331.375   7888.933 5.687 1649.180 7971.797 30649.971  48.375 93.402 29.889  7.173 6.063 7.774  24.293   0.149  62699.973 4.780 177.016 3906.859 341.895 1314.518 1016.141  6.231  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
World 1973  3920251392  -3.863 -0.573 3.635 14.251    0.021  3.002 515.342 4510.825 17683.568   1.780 307.080 4478.890 17558.373  26.660     5.789 3629.629 16919.732  5.864 3422.223   15760.095 61783.535  93.146 4.752 516.119 11377.832   2902.322 4.812 527.226 2929.071 11482.695  17.153  1.431 54.361 3852.995 332.380 1303.013 982.844  5.809 4.843 207.407 4546.065 392.579 1539.010 1159.636  6.854   33.991 146.774 578.574 52.012 203.902 147.586  0.872 7.882 2390.760 32722.135   8346.948 9.120 2795.154 8531.372 33445.125  49.333 100.246 32.096  7.384 6.844 8.187  25.571   0.151  66329.602 1.506 60.633 3967.492 340.567 1335.109 1012.050  5.981  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
World 1974  3995516928  0.591 0.084 3.588 14.335    0.021  0.073 12.863 4429.072 17696.432   0.879 154.381 4433.157 17712.754  26.535     0.545 361.164 16691.398  -0.328 -202.598   15412.508 61580.938  92.338 2.479 282.027 11659.859   2918.236 2.111 242.401 2934.563 11725.097  17.483  9.840 379.142 4232.137 358.209 1431.232 1059.221  6.346 12.438 563.761 5109.826 433.516 1732.121 1278.890  7.662   30.749 177.908 756.482 66.725 266.600 189.333  1.134 -1.520 -497.486 32224.648   8065.201 0.223 74.555 8389.322 33519.680  48.320 106.873 34.289  6.833 6.627 8.582  26.748   0.160  66690.766 9.671 385.852 4353.344 366.791 1465.521 1089.557  6.528  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
World 1975  4069437184  -4.509 -0.646 3.364 13.688    0.020  1.972 349.004 4434.381 18045.436   5.956 1054.924 4611.861 18767.678  26.872     0.693 462.367 16501.822  0.189 116.578   15161.191 61697.516  91.876 -0.001 -0.123 11659.736   2865.196 0.213 24.999 2887.401 11750.096  17.363  1.233 52.196 4284.333 356.040 1448.883 1052.807  6.380 6.916 345.792 5455.618 455.479 1853.544 1340.632  8.124   38.728 292.968 1049.450 90.884 369.848 257.886  1.563 -0.721 -232.303 31992.346   7861.614 -5.018 -1681.912 7823.629 31837.768  47.641 108.147 34.812  1.525 1.274 8.555  26.575   0.161  67153.133 1.184 52.824 4406.168 364.595 1483.696 1082.746  6.561  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
World 1976  4142505728  0.459 0.063 3.320 13.751    0.019  3.626 654.350 4514.124 18699.785   2.834 531.840 4658.899 19299.518  26.433     5.346 3590.117 17077.406  5.537 3416.359   15718.476 65113.875  92.043 5.956 694.402 12354.139   2982.286 4.312 506.678 2958.782 12256.773  17.463  -0.397 -16.993 4267.339 348.373 1443.137 1030.135  6.032 3.273 173.755 5629.373 462.184 1914.599 1358.929  7.957   16.986 178.262 1227.712 104.447 432.671 296.369  1.735 6.463 2067.607 34059.953   8222.065 8.647 2752.971 8350.197 34590.738  48.146 120.571 38.791  11.430 12.424 9.364  29.106   0.170  70743.250 -0.114 -4.506 4401.662 357.737 1481.928 1062.560  6.222  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
World 1977  4215772416  33.214 4.567 4.345 18.319    0.025  3.035 567.627 4570.316 19267.412   3.039 586.469 4717.044 19885.986  26.285     3.616 2558.320 17387.459  3.230 2103.109   15944.168 67216.984  91.699 3.284 405.699 12759.838   3026.690 4.221 517.381 3030.086 12774.154  17.407  3.363 143.520 4410.859 353.831 1491.672 1046.275  6.017 8.353 455.208 6084.581 491.277 2071.112 1443.290  8.301   24.470 300.426 1528.137 127.746 538.548 362.481  2.085 3.317 1129.781 35189.734   8347.162 3.493 1208.129 8491.650 35798.867  48.007 127.267 40.892  5.416 6.696 9.700  30.188   0.174  73301.570 3.691 154.782 4556.444 363.531 1532.564 1080.809  6.216  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
